Volcano Name;Volcano Name Ref;Region;Start Date;Max. VEI;Latitude;Longitude
Antuco;Antuco Volcano;Region del Bio Bio;11-02-1905;2;-37,4098916;-71,3513191
Antuco;Antuco Volcano;Region del Bio Bio;24-12-1904;1;-37,4098916;-71,3513191
Antuco;Antuco Volcano;Region del Bio Bio;15-10-1904;2;-37,4098916;-71,3513191
Burney, Monte;Burney, Monte Volcano;Region de Magallanes y la Antartida chilena;01-03-1910;2;-52,325;-73,38
Calbuco;Calbuco Volcano;Region de Los Lagos;22-04-2015;4;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;26-08-1972;2;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;01-02-1961;3;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;06-01-1929;3;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;01-04-1917;3;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;01-03-1909;2;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;22-04-1907;2;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;25-03-1905;2;-41,330389;-72,6087158
Calbuco;Calbuco Volcano;Region de Los Lagos;20-03-1905;2;-41,330389;-72,6087158
Callaqui;Callaqui Volcano;Region de Los Lagos;16-10-1980;1;-37,916667;-71,45
Carran-Los Venados;Carran-Los Venados Volcano;Region de Los Rios;14-04-1979;2;-40,308;-72,07
Carran-Los Venados;Carran-Los Venados Volcano;Region de Los Rios;27-07-1955;4;-40,308;-72,07
Carran-Los Venados;Carran-Los Venados Volcano;Region de Los Rios;09-04-1907;3;-40,308;-72,07
Chaitén;Chaitén Volcano;Region de Los Lagos;02-05-2008;4;-42,8375514;-72,6477862
Chaitén;Chaitén Volcano;Region de Los Lagos;27-06-1904;4;-42,8375514;-72,6477862
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;08-01-2016;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;29-08-2003;1;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;16-07-1973;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;02-07-1935;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;17-01-1934;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;30-11-1928;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;10-04-1927;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;06-08-1906;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;29-04-1905;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;28-03-1905;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;21-03-1905;1;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;12-03-1905;2;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;14-10-1904;3;-36,8452778;-71,3988889
Chillan, Nevados de;Chillan, Nevados de Volcano;Region de Ñuble;07-07-1904;3;-36,8452778;-71,3988889
Descabezado Grande;Descabezado Grande Volcano;Region del Maule;05-06-1932;3;-35,5869444;-70,7516667
Guallatiri;Guallatiri Volcano;Region de Arica y Parinacota;02-12-1960;2;-18,416667;-69,091667
Guallatiri;Guallatiri Volcano;Region de Arica y Parinacota;15-07-1959;2;-18,416667;-69,091667
Guallatiri;Guallatiri Volcano;Region de Arica y Parinacota;27-03-1905;2;-18,416667;-69,091667
Guallatiri;Guallatiri Volcano;Region de Arica y Parinacota;29-12-1904;2;-18,416667;-69,091667
Hudson, Cerro;Hudson, Cerro Volcano;Region de Aysen;26-10-2011;2;-45,9;-72,966667
Hudson, Cerro;Hudson, Cerro Volcano;Region de Aysen;08-08-1991;5;-45,9;-72,966667
Hudson, Cerro;Hudson, Cerro Volcano;Region de Aysen;12-08-1971;3;-45,9;-72,966667
Huequi;Huequi Volcano;Region de Los Lagos;03-04-1905;2;-42,376667;-72,578056
Huequi;Huequi Volcano;Region de Los Lagos;20-03-1905;2;-42,376667;-72,578056
Huequi;Huequi Volcano;Region de Los Lagos;14-03-1905;2;-42,376667;-72,578056
Huequi;Huequi Volcano;Region de Los Lagos;10-03-1905;2;-42,376667;-72,578056
Huequi;Huequi Volcano;Region de Los Lagos;07-03-1905;2;-42,376667;-72,578056
Huequi;Huequi Volcano;Region de Los Lagos;04-03-1905;3;-42,376667;-72,578056
Huequi;Huequi Volcano;Region de Los Lagos;21-08-1904;2;-42,376667;-72,578056
Isluga;Isluga Volcano;Region de Tarapaca;27-03-1905;2;-19,1563889;-68,8344444
Isluga;Isluga Volcano;Region de Tarapaca;27-02-1905;1;-19,1563889;-68,8344444
Isluga;Isluga Volcano;Region de Tarapaca;19-02-1905;2;-19,1563889;-68,8344444
Isluga;Isluga Volcano;Region de Tarapaca;10-02-1905;2;-19,1563889;-68,8344444
Lascar;Lascar Volcano;Region de Antofagasta;30-10-2015;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;02-04-2013;1;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;18-04-2006;3;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;04-05-2005;3;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;26-10-2002;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;20-07-2000;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;18-10-1996;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;13-11-1994;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;20-07-1994;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;17-12-1993;2;-23,3630556;-67,7313889
Lascar;Lascar Volcano;Region de Antofagasta;30-01-1993;4;-23,3630556;-67,7313889
