Anio;Nombre del volcán;Locación;País;Latitude;Longitude
2010;Tungurahua;Ecuador;Ecuador;-1.467;-78.442
2010;Eyjafjallajokull;Iceland-S;Iceland;63.63;-19.62
2010;Pacaya;Guatemala;Guatemala;14.381;-90.601
2010;Sarigan;Mariana Is-C Pacific;United States;16.708;145.78
2010;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48
2010;Sinabung;Sumatra;Indonesia;3.17;98.392
2010;Merapi;Java;Indonesia;-7.542;110.442
2010;Tungurahua;Ecuador;Ecuador;-1.467;-78.442
2010;Tengger Caldera;Java;Indonesia;-7.942;112.95
2011;Merapi;Java;Indonesia;-7.542;110.442
2011;Kirishima;Kyushu-Japan;Japan;31.93;130.87
2011;Bulusan;Luzon-Philippines;Philippines;12.77;124.05
2011;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48
2011;Tungurahua;Ecuador;Ecuador;-1.467;-78.442
2011;Puyehue;Chile-C;Chile;-40.59;-72.117
2011;Nabro;Africa-NE;Eritrea;13.37;41.7
2011;Katla;Iceland-S;Iceland;63.63;-19.05
2011;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792
2011;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715
2012;Kilauea;Hawaiian Is;United States;19.425;-155.292
2012;Kilauea;Hawaiian Is;United States;19.425;-155.292
2012;Tolbachik;Kamchatka;Russia;55.83;160.33
2013;Merapi;Java;Indonesia;-7.542;110.442
2013;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708
2013;Mayon;Luzon-Philippines;Philippines;13.257;123.685
2013;Paluweh;Lesser Sunda Is;Indonesia;-8.32;121.708
2013;Ubinas;Peru;Peru;-16.355;-70.903
2013;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67
2013;Sinabung;Sumatra;Indonesia;3.17;98.392
2013;Okataina;New Zealand;New Zealand;-38.12;176.5;
2014;Sinabung;Sumatra;Indonesia;3.17;98.392
2014;Kelut;Java;Indonesia;-7.93;112.308
2014;On-take;Honshu-Japan;Japan;35.9;137.48
2014;Kilauea;Hawaiian Is;United States;19.425;-155.292
2014;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35
2014;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325
2015;Sinabung;Sumatra;Indonesia;3.17;98.392
2015;Calbuco;Chile-S;Chile;-41.326;-72.614
2015;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2.78;125.48
2015;Manam;New Guinea-NE of;Papua New Guinea;-4.1;145.061
2015;Sinabung;Sumatra;Indonesia;3.17;98.392
2015;Okataina;New Zealand;New Zealand;-38.12;176.5
2016;Sinabung;Sumatra;Indonesia;3.17;98.392
2016;Sinabung;Sumatra;Indonesia;3.17;98.392
2016;Yellowstone;US-Wyoming;United States;44.43;-110.67
2016;Rinjani;Lesser Sunda Is;Indonesia;-8.42;116.47
2016;Aso;Kyushu-Japan;Japan;32.88;131.1
2017;Etna;Italy;Italy;37.734;15.004
2017;Sinabung;Sumatra;Indonesia;3.17;98.392
2017;Fuego;Guatemala;Guatemala;14.473;-90.88
2017;Dieng Volc Complex;Java;Indonesia;-7.2;109.92
2017;Campi Flegrei;Italy;Italy;40.827;14.139
2017;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83
2017;Merapi;Java;Indonesia;-7.542;110.442
2017;Sinabung;Sumatra;Indonesia;3.17;98.392
2018;Kadovar;New Guinea-NE of;Papua New Guinea;-3.62;144.62
2018;Mayon;Luzon-Philippines;Philippines;13.257;123.685
2018;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55
2018;Kilauea;Hawaiian Is;United States;19.425;-155.292
2018;Kadovar;New Guinea-NE of;Papua New Guinea;-3.62;144.62
2018;Ijen;Java;Indonesia;-8.058;114.242
2018;Kilauea;Hawaiian Is;United States;19.425;-155.292
2018;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83
